site_index,summary
2,کتاب حاضر، پژوهشی است که در آن مسئله اصلی این است که اصول، مشخصات، ضوابط و چارچوب‌های روابط ایران، به معنی دولت ساسانی و بیزانس، به معنی امپراتوری روم شرقی در طی نیمه اول قرون‌وسطی کدام بوده است، چه عوامل، عناصر و مولفه‌های درونی و بیرونی با توجه به مقتضیات زمانی و مکانی اعم از اقوام و ملل، ادیان و مذاهب، طبقات و گروه‌ها، قلمروهای بری و بحری، ساختارهای سیاسی- اقتصادی، به‌ویژه گذرگاه‌های شرقی-غربی راه ابریشم و ادویه از شمال تا جنوب بین‌النهرین، یعنی دریای سیاه تا دریای سرخ و نواحی شرقی مدیترانه به‌عنوان متغیرهای مستقل بر این روابط تأثیرگذار بوده است.
3,"نظریه‌های یادگیری از دروس مهم در دوره‌های کارشناسی، کارشناسی ارشد و دکتری روان‌شناسی بطورکلی و روان‌شناسی تربیتی بطور خاص محسوب می‌‌شود. علت اهمیت این درس را شاید بتوان در ماهیت چند وجهی یادگیری جستجو کرد. یادگیری از دیدگاه رفتارگرایان تغییر در رفتا‌رهای قابل مشاهده است در حالیکه در رویکرد شناختی به تغییرات ایجادشده در ساختارهای ذهنی اطلاق می‌شود. در رویکردهای جدید‌ مانند سازا‌گرایی شخصی، اجتماعی و انتقادی، یادگیری با ساختن معنا و توجه به ارزش‌ها همراه است. با وجود تنوع دیدگاه‌ها در یادگیری، همه بر این موضوع که شناخت نسبت به رویکردهای یادگیری می‌تواند نقش مهمی در فرایند یادگیری و آموزش داشته باشد،اتفاق نظر دارند. کتاب ""رویکردهای یادگیری :نظریه و کاربست"" از جمله معدود کتاب‌هایی است که درآن علاوه بر ارائه رویکردهای مختلف یادگیری، مبانی فلسفی و کاربردهای عملی آن‌ها نیز مورد توجه ‌قرار گرفته است. در این کتاب برای خواننده امکان مقایسه رویکردها و نقاط قوت و ضعف هریک وجود خواهد داشت. از ویژگی‌های برجسته کتاب توجه به مباحثی چون یادگیری اجتماعی و یادگیری فرهنگی و ارائه آن‌ها در دو فصل جداگانه است که در کتاب‌های یادگیری مغفول مانده است. دراین دو فصل نقش فرهنگ و جامعه و چگونگی اثرگذاری آن‌ها بر فرآیند یادگیری مورد بحث قرار می گیرد. خواننده درفصل زبان و یادگیری، ضمن تاکید براهمیت زبان، با نقش آن در یادگیری بیشترآشنا می شود ، در فصل بدن و یادگیری ،در مورد ارتباط بدن و ذهن اطلاعات کاملی به دست می آورد ودر فصل ارزش‌ها، به چگونگی اثرگذاری ارزش‌های مختلف دینی،سیاسی ،اخلاقی ،فردی و اقتصادی در برنامه درسی پی می ‌برد.در فصل یادگیری تجربه ای و مبتنی بر شایستگی ،خواننده با انواع یادگیری‌های تجربه ای آشنا شده و قادر به شناسایی تفاوت آن‌ها می شود.دو فصل پایانی کتاب ""یادگیری آمیخته"" و ""تعلیم و تربیت در آینده"" خواننده را با مباحث جدید و همچنین آنچه می بایست در آینده مورد توجه دست اندکاران تعلیم و تربیت قرار گیرد آشنا می‌‌سازد."
4,"موضوع داستان به این صورت است: «شخصیت اصلی این رمان دختری است که در مجله ای مشغول به کار شده و به تدریج چگونگی آشنایی و ازدواج او با یکی از نویسندگان مجله بازگو می شود؛ اما نتیجه ی آن شکست زندگی زناشویی و جدایی از همسر است. او پس از آشنایی و دوستی با یک ایتالیایی به همسری وی درمی آید و از او صاحب دختری به نام ""لونا"" می شود.» در قسمتی از کتاب می خوانیم: «عجب باقالی پلو ماهی ای بود. حظ کردم. مدت ها بود که یک شکم سیر غذای ماکول نخورده بودم. امروز صبح که مامور آمد و از من سوال کرد: ""مهندس! امروز غذا چی دوست داری بخوری؟"" فکر کردم این هم یک جور شکنجه کردن است. یک میز بزرگ غذا در نظرم مجسم شد، میزهایی که زنم برای پذیرایی از میهمانانم ترتیب می داد. به قیافه ی زنم نمی آمد که آن قدر هنرمند باشد.»"
5,ساعت خوش نام مجموعه تلویزیونی است که در سال ۱۳۷۳ و ۱۳۷۴ به کارگردانی مهران مدیری به صورت هفته‌ای یکبار از شبکه دو سیمای جمهوری اسلامی ایران پخش می‌شد.مجموعه شامل قطعات (آیتم‌ها) طنز کوتاه بود و نکته خاص آن متفاوت بودن آن با نوع طنزی بود که در آن زمان در صدا و سیما رایج بود (مانند مجموعه رادیویی صبح جمعه با شما) و بسیار تکراری و یکنواخت شده بود. بر خلاف مجموعه صبح جمعه با شما که همیشه در خصوص بیچارگی کارمندان دولت، زورگویی صاحبخانه و مانند آن بود و بر دادن پیام اخلاقی در هر قسمت هم اصرار داشتند، در ساعت خوش مستاجرها زورگو بودند و گاهی تنها بیانگر یک وضعیت طنز بودند. این مجموعه آغازگر حرکت جدید و معرفی بازیگران جدیدی در عرصه طنز شد.
6,کتاب «درس‌هایی از زندگی استیون هاوکینگ» بنا دارد ورای یافته‌های علمی و شهرت هاوکینگ به شخصیت خود او بپردازد. البته در مواقع لزوم به محتوای تئوری‌های او نیز نگاهی خواهیم انداخت. اما هدف اصلی این است که خصوصیات او، روش کار و انگیزه و منبع الهام او را بررسی کنیم. در نهایت، از خود خواهیم پرسید: آیا این اثر توانسته ضمن به تصویر کشیدن توانایی‌ها و ویژگی‌های منحصربه‌فرد این شخصیت، نقاط ضعف و عیوب احتمالی او را هم به خواننده نشان دهد، تا در نهایت همه متوجه شویم این افراد نیز یکی مثل خود ما هستند؟ امیدواریم این کتاب بتواند چهره شاخص علمی عصر را در کنار تمام ویژگی‌های او به عنوان یک انسان طبیعی به‌درستی به شما معرفی کند.
7,شاخص های نموداری (اندیکاتورها) یکی از ابزارهایی هستند که کار پیچیده بازار به خصوص تحلیل تکنیکی را آسانتر می کنند. اما در صورتی که دانش کافی از کلیه جوانب و سیگنال های معاملاتی ساخته شده توسط این ابزارها وجود نداشته باشد، نه تنها مفید نخواهند بود بلکه می توانند موجب افزایش ریسک و عدم کارایی گردند.
8,رمان «نشانی روی آب و ردّ کبوترها»، ماجرای خود را در دل حوادث مهم تاریخ معاصر از جمله انقلاب اسلامی، دفاع مقدس و فتنه روز عاشورای سال ۱۳۸۸، روایت می کند و از طریق روایت تعزیه، به واقعه عاشورا نیز می پردازد.داستان، از پیرزنی به نام بی بی منظر، همراه با شوهر بیمارش، و تن ها پسرش قاسم می گوید که همگی در آذربایجان زندگی می کنند. در کنار او، رزمنده میانسالی به نام الدار است که تعزیه دار روستا و شبیه خوان امام حسین (ع) است. زمستان سال ۱۳۵۰، غلامحسین، فرزند پیش نماز محل و دانشجویی مذهبی در تهران که در پخش اعلامیه های امام خمینی دست داشته است، دستگیر می شود.
10,بی شک زحمات و خدمات روح الله خالقی در اعتلا بخشیدن به موسیقی ایرانی بر هیچ کس پوشیده نیست. بر ماست که با حفظ و اشاعه ی میراث به جا مانده از این بزرگمرد تاریخ موسیقی ایرا ن زمین، آرمان و اهداف والای او راتحقق بخشیده و با فرا گیری و مطالعه ی آثار او، زحماتش را اپاس بداریم. این کتابی را که ما به شما معرفی می کنیم یکی بهترین کتابهاست که می تواند شما را در آموزش مقدماتی ویولن راهنمایی کند.
11,"مجموعه داستان «یک روز مناسب برای شنای قورباغه»، نوشته رضا زنگی آبادی شامل ۹ داستان کوتاه است که اگرچه به گفته نویسنده با فاصله زمانی نوشته شده و از نظر موضوع و شیوه روایت متفاوت است، اما در تمام شان یک ایده مشترک به چشم می خورد و آن خشونت جاری در زندگی روزمره است.

 بیشتر داستان های این مجموعه، پایان ترسناکی دارند: مرگ، قتل یا خودکشی پایان زندگی شخصیت های داستان است. داستان نخست این مجموعه با عنوان «ملیحه چتر نداشت»، این گونه آغاز می شود: «برق، اتاق را روشن کرد و رعد شیشه ها را لرزاند و آمد خودش را مالید به تختی که ملیحه روی آن خوابیده بود اما ملیحه تکان نخورد، انگار دوخته شده بود به تخت. بعد صدای زنگ تلفن آمد. هیچ کس به او تلفن نمی کرد. فکر کرد باز خیالاتی شده اما تلفن آنقدر زنگ زد تا او را از تخت پایین کشید. اول صدای نفس هایی آمد و بعد صدای بم و دلنشین مردی که با مهربانی گفت: داروهاتو خوردی؟ ... بهتر می شی؛ از شر همه بیماری ها خلاص می شی... گفت: همه اش به خاطر اعصابه و تنهایی. »"
12,تاریخ دو برابر ترسناک تر از همیشه !جنگ فجیع جهانی اول حقایقی هولناک از جنگ مهیبی را برایتان تعریف می کند که بر همه کس تأثیر گذاشت ؛ از تظاهرکنندگان صلح جو (که حتی پیش از آغاز جنگ وارد میدان نبرد شدند) تا سربازانی که در خندق پر از گل و خون رنج کشیدند.
