site_index,award
22,  برنده ی جایزه ی پولیتزر سال ۱۹۶۳ 
48,  برنده جایزه پولیتزر 
48,  برنده جایزه ی نمایشنامه ی حلقه ی منتقدین نیویورک سال 1987 
48,  برنده جایزه Tony سال 1987 
58,  نامزد جایزه کتاب ناشر مستقل سال 1999 
58,  برنده جایزه خواننده گرند کنیون سال 1998 
58,  نامزد مدال خوانندگان جوان کالیفرنیا سال 1998 
58,  برنده جایزه سکویا اوکلاهما سال 1998 
100,  از پرفروش ترین کتاب های نیویورک تایمز 
101,  برنده ی جایزه ی Anisfield-Wolf سال 2011 
101,  نامزد دریافت جایزه ی اورنج سال 2011 
101,  نازمرد دریافت جایزه ی ملی کتاب آمریکا سال 2010 
101,  نازمرد دریافت جایزه ی بهترین کتاب گودریدز سال 2010 
101,  از کتاب های پرفروش نیویورک تایمز 
103,  رودکی مشهور به استاد شاعران، نخستین شاعر مشهور پارسی سرای حوزه تمدن ایرانی در سدهٔ چهارم هجری قمری و استاد شاعران این قرن در ایران است. 
118,  از کتاب های پرفروش روانشناسی در آمریکا 
118,  در فهرست کتاب هایی که زندگی تان را دگرگون خواهند کرد 
139,  جزو فهرست کتاب هایی که زندگی تان را دگرگون خواهند کرد 
139,  جزو لیست پرفروش ترین های نیویورک تایمز  
185,  مودیانو برنده ی جایزه ی نوبل ادبیات سال 2014 
187,  برنده ی جایزه ی داستان جنایی آلمان سال 1992 
