fa_title,en_title,price,discount,score,publisher,author,code,Isbn,pages,publication_per_date,publication_ad_date,size,cover_material,print_series,earliest_send_time,summary,tags
کتاب کلیات پزشکی سنتی چینی و طب سوزنی, Pezeshki Sonnati," 300,000 "," 255,000 ",3.87,المعی,حسن رضوانی,70554,978-9647553261,1402,شومیز,,وزیری,,,,طب چینی یا سوزنی یکی از دو رشته درمانی طبی دنیا، یعنی طب غربی و شرقی است که نامشان از مناطق جغرافیایی کره زمین که این رشته های درمانی در آن مناطق بنیان گذاری شده، آمده است. امروزه طب غربی یا طب رایج در تمامی مناطق دنیا رواج دارد و طب شرقی یا طب سنتی چینی منحصر به قسمت مهم قاره آسیا و برخی از کشورهای دیگر دنیا است و از جمعیت شش میلیارد و نیمی جهان سه و نیم میلیارد نفر زیر پوشش این رشته درمانی هستند و در این کتاب تنها به رشته طب سوزنی پرداخته می شود. این طب در کشور چین بنیان نهاده شده است.,"['پزشکی', 'ادبیات ایران', 'کتاب مصور', 'بهداشت']"
کتاب بانوان عمارت میسالونگی, The Ladies of Missalonghi," 30,000 "," 25,500 ",3.17,روشنگران و مطالعات زنان,کالین مک کالو,51563,978-9641940289,184,1388,,رقعی,,,,,"['ادبیات استرالیا', 'داستان تاریخی', 'داستان عاشقانه', 'ادبیات داستانی', 'داستان زندگی خانوادگی', 'دهه 1980 میلادی', 'رمان']"
کتاب گوزن شاخدار فایده اش چیه؟, What Use Is A Moose?," 70,000 "," 59,500 ",3.58,علمی و فرهنگی,مارتین وادل,49138,978-9644458071,32,1400,,وزیری,,,,,"['ادبیات ایرلند', 'ادبیات داستانی', 'دهه 1990 میلادی', 'کتاب کودک', 'کتاب مصور', 'داستان حیوانات']"
کتاب تانیا, Tanya," 75,000 "," 60,000 ",3.62,پژواک فرزان,آلکسی آربوزوف,116421,978-6009313884,159,1396,,جیبی,,,,نمایش‌نامه «تانیا» داستان زندگی زنی جوان است که ناگهان از خوابی گران بیدار می‌شود. او که همه وجودش را عشقی بی‌شائبه پر کرده بود، در مقابل واقعیتی باورنکردنی تصمیمی عجیب می‌گیرد و توانایی خود را به چالش می‌کشد. در نهایت او پیروز است، چرا که خود را باز یافته است.,"['ادبیات کلاسیک', 'ادبیات روسیه', 'دهه 1930 میلادی', 'ادبیات نمایشی', 'سینما و تئاتر']"
کتاب دانه های روشنایی, Flakes of light," 9,000 "," 6,300 ",3.67,اشک,عباس مهرپویا,76016,978-9642683864,1388,شومیز,,خشتی,,,,,"['داستان فانتزی', 'ادبیات داستانی', 'ادبیات کودک و نوجوان', 'ادبیات ایران', 'کتاب کودک', 'کتاب مصور']"
کتاب رازهای ناگفته ی بازاریابی, Marketing," 20,000 "," 17,000 ",3.67,نیما عربشاهی,جو ویتالی,73891,978-9640669687,96,1384,,خشتی,,,,این کتابچه متضمن چهل و پنج راهکار و نکته در باب نحوه‌ی بازاریابی و موفقیت در کسب و کار است.,"['ادبیات آمریکا', 'روانشناسی', 'تجارت و کسب و کار', 'خودپروری']"
کتاب سلام بر عاشورا, Salam bar Ashoora," 5,000 "," 4,250 ",3.63,اطلاعات,رضا اسماعیلی,41857,978-9644239441,1394,شومیز,,رقعی,,,,شاعر گرانمایه جناب آقای رضا اسماعیلی که از چهره های مطرح و موفق شعر مقاومت اند و در آفرینش آثار فاخر حماسی نیز دستی به تمام دارند، این بار با مجموعه رباعی « سلام بر عاشورا» که حاوی 162 رباعی عاشورایی است، ابعاد حماسی و ارزشی فرهنگ عاشورا را به روایت نشسته، و مقوله های: اعتراض، بیداری، حماسه، رهایی و پایداری را در نهایت هنرمندی به تصویر کشیده اند، و با غیرتی ستودنی به پیرایش متن متین عاشورا از آلایش های گزافه و خرافه و غلو و تحریف برخاسته و سوگواران محافل حسینی را با مفاهیم انسان ساز عاشورا آشنا ساخته اند.,"['دینی و مذهبی', 'ادبیات ایران', 'شعر ایرانی', 'ادبیات آیینی']"
کتاب قاصدک ها در هوا ایستاده اند, Dandelions are standing in the air," 69,000 "," 55,200 ",3.18,دنیای نو,مهدی حسینی (مهد),107977,978-9641721932,1401,شومیز,,رقعی,,,,,"['شعر', 'ادبیات ایران', 'شعر ایرانی', 'شعر معاصر']"
کتاب سقف تالار آیینه عمارت نارنجستان شیراز, Saghf-e Talar-e Ayieneh,"1,600",,3.35,کانون پرورش فکری کودکان و نوجوان,هادی سیف,27986,978-9643911140,1390,شومیز,,رحلی,,,,"کتاب حاضر، از مجموعه ی ""چرا ندیدیم؟""، معرفی دقیقی از سقف تالار آیینه ی عمارت نارنجستان در شیراز است. نویسنده پس از معرفی تالارهای آیینه ی دیگر در ایران، به عمارت نارنجستان شیراز و تالار آینه ی آن می پردازد. بنای این عمارت مربوط به عهد قاجار و سازنده ی آن، محمدرضاخان قوام الملک شیرازی، والی خطه ی فارس است. آیینه کاری ها و نقاشی های بی همتای سقف تالار آیینه به وسیله ی ابوالقاسم، آیینه کار شیرازی و سیدیوسف، نقاش شیرازی صورت گرفته است. هدف کتاب آشنا کردن هرچه بیش تر کودکان و نوجوانان ایرانی با آثار ارزشمند هنری ایران است.","['ادبیات نوجوان', 'هنری', 'فرهنگی', 'ادبیات ایران', 'تاریخ ایران', 'کتاب نوجوان', 'کتاب مصور']"
کتاب فناوری در سال 2021," The Year in Tech, 2021","41,500",,3.01,راه پرداخت,هاروارد بیزینس ریویو,64447,978-6229736944,116,1399,,رقعی,,,,امروزه هنگامی که کســب‌وکارها بــه فناوری فکر می‌کنند، معمولا ابتدا به فناوری‌های دیجیتال می‌اندیشــند، اما به موارد دیگری که پتانســیل تغییر زندگی ما را در سال‌های آتی دارند (مانند پیشرفت‌های چشمگیر در ژنتیک، پزشکی، انرژی و مهندسی اقلیم‌شناسی) فکر نمی‌کنند. بدون شک دلیل این موضوع اهمیت بیشتر دنیای دیجیتال نیست. تمرکز کنونی ما روی این نوع فناوری‌ها، به خاطر ماهیت کارهایی است که انجام می‌دهیم. فعالیت شرکت‌های امروزی به تعامل و مشارکت افراد با یکدیگر در عرضه کالاها و خدمات، نحوه دسترسی به مشتریان و کاربران و نحوه تعامل آن کاربران با کسب‌وکار و سایر کاربران بستگی دارد. این شرایط در مورد تمام شرکت‌ها صدق می‌کند؛ چه از فناوری اســتفاده کنند، چه اســتفاده نکنند. مقالات گردآوری‌شده در کتاب فناوری در سال ۲۰۲۱ نگاهی رو به آینده دارند. این مقالات، با توجه به حقایق کنونی، به فناوری‌هایی می‌پردازند که رهبران باید مدنظر داشته باشند و سود، ضرر و تحول‌آفرینی احتمالی آنها را بررسی کنند. این کتاب به شما در زمینه برخی از مهم‌ترین فناوری‌ها و سوالاتی که در موردشان دارید یا ممکن است به ذهنتان خطور کند، کمک می‌کند. هر کدام از این مقالات به جنبه‌ای جزئی از یک موضوع کلی پیچیده می‌پردازند؛ موضوعی بسیار فراتر از تصور، ترسناک و همچنین بسیار امیدوارکننده. این مقالات به فناوری‌هایی می‌پردازند که رهبران باید مدنظر داشته باشند و سود و ضرر آنها را بررسی کنند.,"['ادبیات آمریکا', 'علمی', 'تجارت و کسب و کار', 'تکنولوژی', 'دهه 2020 میلادی']"
