site_index,summary
1,این که من اوقاتم را در این جا و دقیقا در این جا چگونه می گذرانم، این که آیا می توانم خودم باقی بمانم یا نه، اهمیت بیش تری دارد. به این لحاظ، «معنایی» که زندانی شدن من در نهایت خواهد داشت، به آن سادگی که در آغاز به نظر می آمد نیست. ولی مطمئنم که متوجه منظورم می شوی.این را که چه خواهد شد، نمی دانم. در حال حاضر فقط می دانم که به رغم تمام رنج ها هنوز سبک نشده ام؛ هنوز هویتم را حفظ کرده ام؛ اعتبار آن را آزموده ام و از شأنم دفاع کرده ام. این که این کدامین نیکی را به دنیا عرضه خواهد کرد، نمی دانم. اما برای من خوب است. هیچ اطمینانی وجود ندارد که دوباره بتوانم مطلب ارزنده ای بنویسم اما اطمینان دارم که اگر شکست بخورم، دیگر هرگز نخواهم توانست چیز باارزشی بنویسم. بنابراین آینده معلوم است. سرشار از امیدها، تردیدها، عزم ها، بلاتکلیفی ها، برنامه ها و بیم ها هستم. فعلا فقط از یک چیز مطمئنم: همیشه داستان جالبی وجود خواهد داشت: نه فقط برای من، بلکه با من نیز. اما تو این را می دانی، مگر نه؟می بوسمتواشک
2,در دشت های پهناور آفریقا کرگدنی به نام نوربرت خرگردن زندگی می کرد. او بسیار بداخلاق و بی عقل بود اما زور بسیار زیادی داشت و هرکس را که سر راهش بود از بین می برد. اهالی دشت بسیار از او می ترسیدند و سعی می کردند هیچ وقت با او روبه رو نشوند. یک روز آنها تصمیم گرفتند دور هم جمع شوند و راهی برای مقابله با خرگردن پیدا کنند و حالا پرنده ای کوچولو و شجاع می خواهد نوربرت را ادب کند.
4,این کتاب به بیان مشکلات گوناگون جامعه ما می پردازد تا تصویری از جو کنونی بیافریند و مخاطب خود را به اندیشیدن درباره محیطی که خلق کرده وادارد. این کتاب می تواند همچون تلنگری خواننده را به فکر فروببرد و این حقیقت را به او یادآور شود که اگر نفع جمعی را به منفعت خودش مقدم دارد می تواند جامعه ای پیشرفته تر داشته باشد.
5,توجه به نیروی انسانی طی سال های اخیر بخش مهمی از زمان و سرمایهٔ سازمان های پیشرو را به خود اختصاص داده است و مدیران هوشمند با سرمایه گذاری در زمینهٔ توسعه و ارتقای نیروی انسانی، کارآیی و برتری سازمان خود را تضمین می کنند. به دلیل اهمیت فزایندهٔ نیروی انسانی، مسائل انگیزشی، ارضای نیازهای معنوی، فراهم آوردن فضایی برای رشد و خلاقیت، همراه با ایجاد محیطی ایمن، سالم و صلح آمیز در کنار تأمین نیازهای مادی کارکنان حتی بعد از پایان خدمت، مورد توجه قرار گرفته است. مدیریت منابع انسانی با مسئولیت خاص رسیدگی و توجه به نیروی انسانی به صورت واحدی همتراز واحدهای تولید، مالی و فروش در سازمان ها درآمده است.
6,ناپلئون، بیل گیت، جورج دابلیو بوش، اسامه بن‌لادن. رهبران و مفهوم رهبری موضوعی کهن اما همچنان داغ است. رهبری چیست؟ چگونه کسی رهبر می‌شود. آیا به‌واقع به رهبر نیاز داریم؟ کیث گرینت در این کتاب پاسخ‌هایی جذاب به این پرسش‌ها می‌دهد و خوانندگان را وامی‌دارد در مفروضاتشان از رهبری تجدیدنظر کنند. گرینت استدلال می‌کند که رهبری مفهومی لغزنده است و به همین دلیل است که انبوه کتاب‌های مربوط به رهبری علی‌رغم جنجالی که به پا می‌کنند پاسخی درخور به پرسش‌های فوق نداده‌اند. اما پرسش‌های مهمی در اینجا مطرحند که آشکار می‌کنند چرا مفهوم رهبری در برابر تعریف شدن مقاومت می‌کند. کیث گرینت به چگونگی تحول مفهوم رهبری در جوامع کهن پرداخته، نگاهی به تعریف افلاطون، سو سو، ماکیاولی و دیگران می‌اندازد و نشان می‌دهد چگونه نیروهای سیاسی، اقتصادی و اجتماعی باعث تضعیف برخی شیوه‌های رهبری می‌شوند.
7,شاخص های نموداری (اندیکاتورها) یکی از ابزارهایی هستند که کار پیچیده بازار به خصوص تحلیل تکنیکی را آسانتر می کنند. اما در صورتی که دانش کافی از کلیه جوانب و سیگنال های معاملاتی ساخته شده توسط این ابزارها وجود نداشته باشد، نه تنها مفید نخواهند بود بلکه می توانند موجب افزایش ریسک و عدم کارایی گردند.
8,رمان «نشانی روی آب و ردّ کبوترها»، ماجرای خود را در دل حوادث مهم تاریخ معاصر از جمله انقلاب اسلامی، دفاع مقدس و فتنه روز عاشورای سال ۱۳۸۸، روایت می کند و از طریق روایت تعزیه، به واقعه عاشورا نیز می پردازد.داستان، از پیرزنی به نام بی بی منظر، همراه با شوهر بیمارش، و تن ها پسرش قاسم می گوید که همگی در آذربایجان زندگی می کنند. در کنار او، رزمنده میانسالی به نام الدار است که تعزیه دار روستا و شبیه خوان امام حسین (ع) است. زمستان سال ۱۳۵۰، غلامحسین، فرزند پیش نماز محل و دانشجویی مذهبی در تهران که در پخش اعلامیه های امام خمینی دست داشته است، دستگیر می شود.
9,تاریخ دو برابر ترسناک تر از همیشه !جنگ فجیع جهانی اول حقایقی هولناک از جنگ مهیبی را برایتان تعریف می کند که بر همه کس تأثیر گذاشت ؛ از تظاهرکنندگان صلح جو (که حتی پیش از آغاز جنگ وارد میدان نبرد شدند) تا سربازانی که در خندق پر از گل و خون رنج کشیدند.
10,"مجموعه داستان «یک روز مناسب برای شنای قورباغه»، نوشته رضا زنگی آبادی شامل ۹ داستان کوتاه است که اگرچه به گفته نویسنده با فاصله زمانی نوشته شده و از نظر موضوع و شیوه روایت متفاوت است، اما در تمام شان یک ایده مشترک به چشم می خورد و آن خشونت جاری در زندگی روزمره است.

 بیشتر داستان های این مجموعه، پایان ترسناکی دارند: مرگ، قتل یا خودکشی پایان زندگی شخصیت های داستان است. داستان نخست این مجموعه با عنوان «ملیحه چتر نداشت»، این گونه آغاز می شود: «برق، اتاق را روشن کرد و رعد شیشه ها را لرزاند و آمد خودش را مالید به تختی که ملیحه روی آن خوابیده بود اما ملیحه تکان نخورد، انگار دوخته شده بود به تخت. بعد صدای زنگ تلفن آمد. هیچ کس به او تلفن نمی کرد. فکر کرد باز خیالاتی شده اما تلفن آنقدر زنگ زد تا او را از تخت پایین کشید. اول صدای نفس هایی آمد و بعد صدای بم و دلنشین مردی که با مهربانی گفت: داروهاتو خوردی؟ ... بهتر می شی؛ از شر همه بیماری ها خلاص می شی... گفت: همه اش به خاطر اعصابه و تنهایی. »"
11,"از میان تمام تمدن های بزرگ جهان باستان، تمدن ایران یکی از کمتر شناخته شده هاست. بررسی جامع یوزف ویزهوفر از امپراتوری ایران در دوران هخامنشیان، اشکانیان و ساسانیان بر منابع اولیه فارسی - مکتوب، باستان شناسی، و سکه شناسی متمرکز است. او از رویکرد سنتی غربی که به شدت بر روایت‌های نادرست یونانی و رومی تکیه دارد، اجتناب می‌کند. بخشی از طراوت این کتاب از دیدگاه خاور نزدیک آن ناشی می شود.«یوزف ویزهوفر» کار فوق العاده ای انجام داده است، این کار برای علاقه مندان و دانشجویان ایران باستان یا ایران و به طور کلی تاریخ جهان ضروری است.کتاب «ایران باستان» ""از ۵۵۰ پ‍ی‍ش از م‍ی‍لاد ت‍ا ۶۵۰ پ‍س از م‍ی‍لاد"" توسط انتشارات ققنوس منتشر شده است."
12,کتاب حاضر، پژوهشی است که در آن مسئله اصلی این است که اصول، مشخصات، ضوابط و چارچوب‌های روابط ایران، به معنی دولت ساسانی و بیزانس، به معنی امپراتوری روم شرقی در طی نیمه اول قرون‌وسطی کدام بوده است، چه عوامل، عناصر و مولفه‌های درونی و بیرونی با توجه به مقتضیات زمانی و مکانی اعم از اقوام و ملل، ادیان و مذاهب، طبقات و گروه‌ها، قلمروهای بری و بحری، ساختارهای سیاسی- اقتصادی، به‌ویژه گذرگاه‌های شرقی-غربی راه ابریشم و ادویه از شمال تا جنوب بین‌النهرین، یعنی دریای سیاه تا دریای سرخ و نواحی شرقی مدیترانه به‌عنوان متغیرهای مستقل بر این روابط تأثیرگذار بوده است.
13,"موضوع داستان به این صورت است: «شخصیت اصلی این رمان دختری است که در مجله ای مشغول به کار شده و به تدریج چگونگی آشنایی و ازدواج او با یکی از نویسندگان مجله بازگو می شود؛ اما نتیجه ی آن شکست زندگی زناشویی و جدایی از همسر است. او پس از آشنایی و دوستی با یک ایتالیایی به همسری وی درمی آید و از او صاحب دختری به نام ""لونا"" می شود.» در قسمتی از کتاب می خوانیم: «عجب باقالی پلو ماهی ای بود. حظ کردم. مدت ها بود که یک شکم سیر غذای ماکول نخورده بودم. امروز صبح که مامور آمد و از من سوال کرد: ""مهندس! امروز غذا چی دوست داری بخوری؟"" فکر کردم این هم یک جور شکنجه کردن است. یک میز بزرگ غذا در نظرم مجسم شد، میزهایی که زنم برای پذیرایی از میهمانانم ترتیب می داد. به قیافه ی زنم نمی آمد که آن قدر هنرمند باشد.»"
