site_index,code,Isbn,fa_title,en_title,score,publisher_id,pages,publication_per_date,publication_ad_date,size,cover_material,print_series,language,earliest_send_time,presence,paper_type
1,14109,978-6004054591,کتاب نامه هایی به اولگا, Letters to Olga,3.37,31,402,1402,1983,0,0,2,فارسی,5 مهر, موجود ,-1
2,19941,978-6006935157,کتاب نوربرت خرگردن, Norberto Nucagorda,3.86,11,56,1398,1987,0,1,2,فارسی,8 مهر, موجود ,-1
3,87800,978-6222086718,کتاب گزیده طنز شهاب ترشیزی, Shahab Torshizi,3.33,1327,85,1401,-1,0,1,1,فارسی,5 مهر, موجود ,-1
4,105323,978-6005861280,کتاب من یک احمق هستم شما چطور…؟!," I'm an idiot, how about you...?!",3.04,1259,144,1402,-1,0,1,3,فارسی,8 مهر, موجود ,-1
5,25671,978-9643124694,کتاب مدیریت منابع انسانی, Human resources management,3.8,66,496,1398,-1,1,1,13,فارسی,---, به زودی  🙄 ,-1
6,76229,978-6227825107,کتاب رهبری, Leadership,3.33,1440,156,1401,2010,0,1,1,فارسی,5 مهر, موجود ,-1
7,59490,978-9642522293,کتاب شاخص های نموداری در بازار سرمایه, Shakheshaye Nemoodari,3.18,1860,120,1399,-1,1,1,2,فارسی,8 مهر, موجود ,-1
8,42613,978-6008145240,کتاب نشانی روی آب و رد کبوترها, Neshani Rouye Ab,3.95,1358,316,1396,-1,0,1,1,فارسی,8 مهر, موجود ,-1
9,25277,978-9643691271,کتاب جنگ فجیع جهانی اول, The Frightful First World War,3.75,11,128,1402,1998,0,1,17,فارسی,8 مهر, موجود ,-1
10,8108,9786002961136,کتاب یک روز مناسب برای شنا قورباغه, A perfect day to swim a frog,3.06,30,92,1393,2014,0,1,1,فارسی,8 مهر, موجود ,-1
11,36714,978-9643111304,کتاب ایران باستان, Ancient Persia,3.88,48,392,1402,1998,1,2,16,فارسی,5 مهر, موجود ,-1
12,67734,978-6007084205,کتاب روابط بیزانس و ایران, Ravebet Bizanso Iran,3.62,1988,312,1393,-1,1,1,1,فارسی,5 مهر, موجود ,-1
13,7204,9782000547822,کتاب نرگس + عشق, Narcisuss + Love,3.21,51,228,1395,2002,0,1,1,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
14,112266,978-6226712989,کتاب مجاز, Allowed,3.13,1875,119,1402,-1,0,1,1,فارسی,8 مهر, موجود ,-1
15,97859,978-9645543630,کتاب مکالمات حجاج عتبات عالیات فارسی به عربی, the dialog persian to Arabic for hojjaj,3.05,2651,166,1382,-1,2,1,1,فارسی و عربی,---,  تمام شد ، اما میاریمش 😏 ,-1
16,67445,978-9640363584,کتاب رویکردهای یادگیری نظریه و کاربست, Approaches to Learning,3.07,1967,362,1399,2008,1,1,5,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
17,105144,978-6225239210,کتاب چگونه حال بهتری و پول بیشتری داشته باشیم, 12 Power Principles for Success,3.09,2628,197,1401,2019,0,1,1,فارسی,6 مهر, موجود ,-1
19,115076,978-6001176869,کتاب درس هایی از زندگی هاوکینگ, How to Think Like Stephen Hawking,3.86,42,176,1402,2016,0,1,1,فارسی,5 مهر, موجود ,-1
20,16787,978-2000111603,کتاب دستور مقدماتی ویولن هنرستان موسیقی, Violin,3.49,1575,51,1388,-1,3,1,7,فارسی,8 مهر, موجود ,-1
21,25342,978-6005786002,کتاب رضاشاه و بریتانیا, Great Britain and Reza Shah,3.86,1621,540,1399,2011,0,1,2,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
23,14025,978-9644484759,کتاب حرامیان, the reivers,3.79,67,358,1401,1962,0,1,5,فارسی,5 مهر, موجود ,-1
24,58825,978-9646807112,کتاب دختران خطرناک, Dangerous Girls,3.22,1111,248,1398,1998,0,1,4,فارسی,5 مهر, موجود ,-1
25,41530,978-6006287805,کتاب چری پری کیک, Cherry the Cake Fairy,3.08,1539,56,1400,2005,0,1,3,فارسی,5 مهر, موجود ,-1
26,101356,978-6003556850,کتاب رژیم غذایی انعطاف پذیر, Flexible Dieting,3.4,1335,228,1401,2022,3,1,1,فارسی,6 مهر, موجود ,-1
26,112151,978-6003557130,رژیم منعطف, Flexible Dieting,3.03,1335,264,1402,2022,3,1,1,فارسی,5 مهر, موجود ,-1
27,112073,978-6009137879,کتاب چیستان و معما, Chistan va Moamma,3.94,3156,112,1398,-1,2,1,16,فارسی,5 مهر, موجود ,-1
28,68597,978-9643141813,کتاب بهبود بهره وری با ارزیابی کار و زمان, Work & Tim Study,3.93,1497,294,1391,-1,0,1,1,فارسی,8 مهر, موجود ,-1
29,32439,978-9642020539,کتاب گریز از گناه, Goriz Az Gonah,3.11,2097,160,1395,-1,0,1,7,فارسی,8 مهر, موجود ,-1
30,13329,978-9642912919,کتاب خاطرات خون آشام - بازگشت (2), Shadow Souls,3.82,1111,536,1400,2010,0,1,7,فارسی,8 مهر, موجود ,-1
31,77557,978-6222381110,کتاب راهنمای Yeni Hitit 1, Yeni Hitit 1 Guide ,3.65,2270,120,1398,-1,1,1,-1,ترکی,---,  تمام شد ، اما میاریمش 😏 ,-1
32,22209,978-9642132720,کتاب تحریر ایلامی, Tahrir Ilami,3.6,58,268,1394,-1,0,1,1,فارسی,---, به زودی  🙄 ,-1
33,45609,978-6003500105,کتاب دانشمندان و آزمایش های حیرت انگیز آن ها, Scientists and Their Mind Blowing Experiments,3.15,1478,216,1401,2003,0,1,2,فارسی,5 مهر, موجود ,-1
34,55620,978-9648228953,کتاب یک بستنی و پنج زبان, Yek Bastani va Panj Zaban,3.03,1578,48,1388,-1,2,1,1,فارسی,8 مهر, موجود ,-1
35,14386,978-9648008111,کتاب یک دسته نامه, A bundle of letters,3.06,1353,52,1397,1879,0,1,2,فارسی,---, به زودی  🙄 ,-1
36,115062,978-6006326818,کتاب در مسیر شاهراه, On the High Road,3.6,2400,352,1395,2010,3,0,1,فارسی,8 مهر, موجود ,-1
37,35961,978-9643639037,کتاب شریعت،عرف و عقلانیت," Shariat, Orf va Aghlaniat",3.26,69,248,1398,-1,0,1,1,فارسی,5 مهر, موجود ,-1
38,77393,979-0802604834,کتاب قطعاتی برای گیتار کلاسیک ۲, Classic Guitar,3.07,1856,64,1395,-1,0,1,3,فارسی,8 مهر, موجود ,-1
38,77497,979-0802604315,قطعاتی برای گیتار کلاسیک ۱, Classic Guitar,3.93,1856,64,1391,-1,3,1,1,فارسی,8 مهر, موجود ,-1
39,105356,978-9642135226,کتاب بازخوانی مارکس در عصر سرمایه داری دیجیتال, Rereading Marx in the Age of Digital Capitalism,3.99,58,216,1401,2019,0,3,2,فارسی,5 مهر, موجود ,-1
40,58102,978-6227437553,کتاب شگفت انگیزترین هدیه, Punchinello and the Most Marvelous Gift,,1483,32,1402,2004,4,1,5,فارسی,5 مهر, موجود ,-1
41,12000,978-9641209546,کتاب رساله در تاریخ ادیان, Patterns in Comparative Religion,3.68,1470,434,1402,1949,1,1,7,فارسی,5 مهر, موجود ,-1
42,96673,978-6006467177,کتاب راهنمای غذایی برای فوتبال, Food Guide for Soccer,3.02,1335,160,1391,2009,1,1,1,فارسی,8 مهر, موجود ,-1
43,97884,978-9644591921,کتاب سنجش ‏و اندازه‏گیری ‏درعلوم ‏تربیتی و روان شناسی, Assessment and measurement in education and psychology,3.48,2018,456,1391,-1,0,1,5,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
44,21706,978-6004051750,کتاب راه جلیل, Budha,3.96,31,214,1402,-1,0,1,2,فارسی,5 مهر, موجود ,-1
45,47876,978-6008209997,کتاب دودمان بلوط, oak dynasty,3.19,1277,732,1400,2021,2,1,6,فارسی,8 مهر, موجود ,-1
46,103421,978-9646895973,کتاب تصرف تنکابن به دست مجاهدان مازندران, Tasarofe Tonekabon,3.03,1131,144,1392,-1,0,1,1,فارسی,---, به زودی  🙄 ,-1
47,9874,9786005140545,کتاب حصارها, Fences,3.39,85,108,1392,1986,0,1,1,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
48,76217,978-9644891182,کتاب تاریخ اندیشه فلسفی در غرب, A History Of Western Thought,3.77,1472,839,1401,2001,0,4,2,فارسی,5 مهر, موجود ,-1
49,120784,978-6009793228,کتاب فهرست دستنویس های نمایشی مذهبی ایران در کتابخانه واتیکان, Biblioteca apostolica vaticana,3.63,1913,588,1396,-1,1,0,1,فارسی,8 مهر, موجود ,-1
50,35814,978-6008291824,کتاب گذشته ی ابر, Persian poetry,3.89,1595,86,1399,-1,0,1,1,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
51,42852,978-6002740540,کتاب کلید تری دی مکس, 3D MAX,3.18,1479,120,1395,-1,0,1,1,فارسی,8 مهر, موجود ,-1
52,47135,978-6226462693,کتاب کسی مثل کسی نیست, Kasi Mesl-e Kasi Nist,3.8,1837,420,1400,-1,0,1,1,فارسی,8 مهر, موجود ,-1
53,39609,978-6222462208,کتاب تلخ و شیرین, Talkh va Shirin,3.99,9,306,1401,-1,0,1,6,فارسی,5 مهر, موجود ,-1
54,110423,978-6004412711,کتاب پروانگان شمع جمع - جلد اول, Parvanegan-e Sham'e Jam',3.45,1873,259,1400,-1,0,1,1,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
55,65401,978-6227786309,کتاب شاهراه باغ جان ها, Shahrah-e Sabz-e-Jan ha,3.62,1813,156,1400,-1,0,1,1,فارسی,8 مهر, موجود ,-1
55,24730,978-2000798026,شاهراه سبز عشق, Shahrah-e Sabz-e Eshgh,3.59,1813,248,1398,-1,0,1,1,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
56,100800,978-6007446102,کتاب تعادل عمومی کاربردی, Applied General Equilibrium,3.32,2311,196,1395,2012,0,1,1,فارسی,6 مهر, موجود ,-1
57,9166,978-9643291921,کتاب روح روشنگری, The spirit of the lights,3.76,18,144,1387,2006,0,1,1,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
58,56525,978-9645676597,کتاب در جستجوی بسگیتی, Seeking the Multiverse,3.68,55,192,1392,2013,0,1,1,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
59,25266,978-9643692384,کتاب فکرهای بکر کیتی, Kitty's Big Ideas,3.19,11,132,1400,2002,5,1,14,فارسی,5 مهر, موجود ,-1
60,51907,978-6222019297,کتاب رده بندی 400, La cote 400,3.49,87,76,1400,2010,0,1,1,فارسی,5 مهر, موجود ,-1
61,63869,978-6222741693,کتاب زندان زمان, Running Out of Time,3.03,28,196,1402,1995,0,1,3,فارسی,8 مهر, موجود ,-1
62,95405,978-6227393194,کتاب یادگیری عمیق با MATLAB, MATLAB Deep Learning,3.89,3097,142,1399,2017,0,1,1,فارسی,8 مهر, موجود ,-1
63,82032,978-6006860947,کتاب دنیا با رنگ قشنگه 1, Donya ba Rang Ghashange,3.61,1612,12,1401,-1,4,1,2,فارسی,8 مهر, موجود ,-1
64,16610,978-6005639919,کتاب خواب هایت را در این خانه تعریف نکن محمود, Don't define your dreams in this house Mahmoud,3.6,1378,112,1397,-1,0,1,1,فارسی,5 مهر, موجود ,-1
65,93513,978-2000523758,کتاب فرار عاقلانه, Farar Aaghelane,,1195,32,1394,-1,3,1,2,فارسی,5 مهر, موجود ,-1
66,48714,978-6001302442,کتاب کارپف از زبان کارپف, Karpov on Karpov,3.21,1312,208,1402,1991,0,1,2,فارسی,8 مهر, موجود ,-1
67,67621,978-9648654165,کتاب شمیم گل نرگس, Shamim-e Gol-e Narges,3.47,2097,160,1400,-1,0,1,9,فارسی,8 مهر, موجود ,-1
68,65092,978-6229647554,کتاب شیرین من شیرین, Shirin Man Shirin,3.1,2759,237,1399,-1,0,1,1,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
69,53591,978-9643065966,کتاب نور و سایه در طراحی از چهره (جلد 6), Light and Shadow in Portrait Drawing,3.86,2040,80,1397,-1,3,1,1,فارسی,6 مهر, موجود ,-1
70,10752,9786002294043,کتاب این جا, here,4.25,33,70,1398,2009,0,1,3,فارسی,---, به زودی  🙄 ,-1
71,54804,978-9646181915,کتاب بازسازی زندگی پس از طلاق, Rebuilding,3.61,1360,246,1400,1981,0,1,37,فارسی,6 مهر, موجود ,-1
71,54964,978-9642785490,گزیده ای از بازسازی زندگی پس از طلاق, Rebuilding,3.07,1360,72,1391,1981,5,1,1,فارسی,8 مهر, موجود ,-1
71,72639,978-6002009746,بازسازی زندگی, Rebuilding,3.3,1362,392,1400,1981,0,1,2,فارسی,---, به زودی  🙄 ,-1
72,31044,978-9642354573,کتاب پنجاه داستانک آموزشی و انگیزشی, Fifty stories,3.51,2091,140,1399,-1,0,1,1,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
73,91979,978-6226535298,کتاب شناخت میوه ها 1, Miveha,3.25,1597,12,1400,-1,4,1,1,فارسی,8 مهر, موجود ,-1
73,91983,978-6226535304,شناخت میوه ها 2, Miveha,3.24,1597,12,1400,-1,4,1,1,فارسی,8 مهر, موجود ,-1
74,58802,978-6227501025,کتاب نمایشنامه این جا گواتمالاست, Guatemala,3.85,1833,52,1400,-1,5,1,1,فارسی,8 مهر, موجود ,-1
75,38799,978-6008460268,کتاب لانگ شوت, Long shot,3.57,1375,116,1397,-1,0,1,1,فارسی,6 مهر, موجود ,-1
76,53873,978-6226530040,کتاب هنر تام استالینی, The Total Art of Stalinism,3.34,1337,156,1400,1988,0,1,1,فارسی,8 مهر, موجود ,-1
77,120918,978-6004139342,کتاب با من بخوان : کتاب, Read with me: Book,3.45,1326,16,1402,-1,3,1,1,فارسی,5 مهر, موجود ,-1
78,121973,978-6006231624,کتاب حیات و نفس, Hayat va Nafs,3.12,4451,281,1399,-1,0,1,1,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
79,13754,978-9647390828,کتاب روانشناسی فروش, The psychology of selling,3.99,1233,256,1401,2005,0,1,22,فارسی,5 مهر, موجود ,-1
79,82579,978-6006774305,روانشناسی فروش, The Psychology of Selling,3.88,1910,278,1401,2005,0,1,1,فارسی,5 مهر, موجود ,-1
79,103252,978-9647727899,روان شناسی فروش,  The Psychology Of Selling,3.47,1361,286,1401,2004,0,1,3,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
80,61049,978-9644015939,کتاب امروز نفرت، فردا سپاس," Hate Me Now, Thank Me Later",3.78,1258,274,1400,2014,0,1,1,فارسی,8 مهر, موجود ,-1
81,112043,978-9640235485,کتاب کلاغ گرسنه, Hungry Crow,3.98,1392,36,1401,-1,3,1,1,فارسی,5 مهر, موجود ,-1
82,20710,978-6226310628,کتاب چهره ام را پشت در می آویختم, Tunisian Poetry,3.75,1308,183,1398,-1,0,1,1,فارسی,8 مهر, موجود ,-1
83,25290,978-9646207882,کتاب چشم های سنگی (دوره ی 2 جلدی), Stone Eyes,3.68,38,1166,1396,2017,0,4,1,فارسی,5 مهر, موجود ,-1
84,86204,978-6227006919,کتاب حضرت باران, Baran,3.24,2719,88,1399,-1,5,1,1,فارسی,8 مهر, موجود ,-1
85,44894,978-6002501677,کتاب توانبخشی اسکیزوفرنی, Family Work For Schizophrenia,3.77,1332,256,1396,1992,0,1,1,فارسی,8 مهر, موجود ,-1
86,45096,978-9643497637,کتاب مقابله با بحران میانسالی, Coping with a Mid-Life Crisis,3.23,30,204,1389,2005,0,1,1,فارسی,8 مهر, موجود ,-1
87,12625,978-600-152-038-9,کتاب پل گوگن, Paul Gauguin,3.17,1786,48,1395,2003,3,1,1,فارسی,---, به زودی  🙄 ,-1
88,38114,978-9641652021,کتاب فرهنگ دارویی, Medicinal Dictionary,3.22,1129,840,1399,-1,0,0,1,فارسی و انگلیسی,---,  تمام شد ، اما میاریمش 😏 ,-1
89,19083,978-6226441063,کتاب مقالات سعید نفیسی 1, Articles by Saeed Nafisi,3.96,1330,437,1397,-1,1,4,2,فارسی,---, به زودی  🙄 ,-1
89,19085,978-6005942672,مقالات سعید نفیسی 3, Articles by Saeed Nafisi,3.01,1330,898,1397,-1,1,4,2,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
89,19084,978-6005942095,مقالات سعید نفیسی 2, Articles by Saeed Nafisi,3.81,1330,1056,1397,-1,1,4,2,فارسی,---, به زودی  🙄 ,-1
90,113135,978-6222673864,کتاب توان عمل : آرنت با دلوز و گواتری," Limit, Collectivity, and the Capacity to Act",3.5,62,230,1402,2014,0,1,1,فارسی,5 مهر, موجود ,-1
91,28215,978-6009996155,کتاب تفکر نقادانه برای کودکان, Critical Thinking Across the Curriculum,3.61,1614,232,1402,2010,0,1,5,فارسی,5 مهر, موجود ,-1
91,55300,978-6229748947,چگونه به کودکان اندیشیدن بیاموزیم, Critical Thinking Across the Curriculum,3.72,1937,168,1400,2010,0,1,1,فارسی,6 مهر, موجود ,-1
91,70486,978-9640370056,تفکر انتقادی در برنامه درسی, Critical Thinking Across the Curriculum,3.12,1967,154,1396,2010,1,1,2,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
92,103181,978-6227089202,کتاب فرهنگ ساختن فرهنگ, What You Do Is Who You Are,3.2,1194,288,1402,2019,0,1,3,فارسی,5 مهر, موجود ,-1
93,104322,978-6005138917,کتاب اندیشه های شاه نعمت الله ولی, Shah Nimatullah Wali,3.66,1391,340,1392,-1,4,1,1,فارسی,8 مهر, موجود ,-1
95,64191,978-6227592146,کتاب شیوه بازاریابی محتوایی یک صفحه ای, The One-Page Content Marketing Blueprint,3.42,1630,260,1400,2019,0,1,1,فارسی,---,  تمام شد ، اما میاریمش 😏 ,-1
96,16402,978-9642249930,کتاب مکانیک کوانتومی, Quantum Mechanics,3.21,9,84,1398,2017,0,1,4,فارسی,5 مهر, موجود ,-1
97,101751,978-6226374446,کتاب رویا و رویا, Dream and dream,3.92,1210,305,1401,-1,0,1,1,فارسی,5 مهر, موجود ,-1
98,89058,978-9648021974,کتاب هنر تزئین شیرینی و شکلات, Decoration,3.32,1336,60,1390,-1,4,1,2,فارسی,8 مهر, موجود ,-1
99,56872,978-9644012259,کتاب فلسفه معاصر, Contemporary Philosophy,3.24,1258,352,1392,1956,1,1,3,فارسی,5 مهر, موجود ,-1
