book_id,translator_id
14109,569
19941,2634
76229,32803
25277,14441
36714,4702
67445,24867
105144,30543
115076,33130
25342,43843
14025,5746
58825,442
41530,23745
101356,54924
112151,31863
112151,51963
13329,639
45609,15472
105356,28889
58102,5308
12000,3587
96673,52172
9874,5941
120784,21664
100800,31863
9166,5066
56525,818
25266,14649
51907,8749
63869,35003
95405,50245
95405,51242
48714,8267
10752,6375
54804,3543
54964,3543
72639,1011
31044,7694
53873,7535
13754,660
82579,37922
61049,10537
25290,378
44894,25423
45096,25114
12625,639
113135,2231
55300,3126
70486,31863
103181,3090
64191,34974
16402,3260
89058,48144
56872,8325
