book_id,writer_id
14109,7713
19941,11484
87800,4690
87800,5185
105323,17747
25671,14929
76229,26541
59490,32815
42613,24381
25277,14319
8108,4943
36714,18389
67734,37624
7204,4985
112266,31542
97859,52921
67445,3274
67445,26997
105144,26943
115076,11871
16787,9341
25342,5833
14025,279
58825,8766
41530,23746
101356,54923
112151,54923
112073,66279
68597,30319
32439,18453
13329,7801
77557,42082
22209,13036
45609,25589
55620,16240
14386,8378
115062,67464
35961,20859
77393,42002
77497,42002
105356,56466
58102,16947
12000,4602
96673,52173
97884,53005
21706,5241
103421,55632
9874,5938
76217,41551
120784,70250
35814,20743
42852,4965
47135,26722
39609,2604
110423,65522
65401,2204
24730,2204
100800,3274
100800,54705
9166,5598
56525,31407
25266,14647
51907,29117
63869,12762
95405,51241
82032,3293
16610,9676
93513,41795
48714,27447
67621,18453
65092,35625
53591,29970
10752,3284
54804,18041
54804,30587
54964,18041
54964,30587
72639,30587
31044,3274
91979,3293
91983,3293
58802,10463
38799,16280
53873,8078
120918,19730
121973,70676
13754,2288
82579,2288
103252,2288
61049,33553
112043,3464
20710,12059
25290,3274
86204,46650
44894,3274
44894,25456
45096,25587
38114,11352
19083,3026
19085,3026
19084,3026
28215,16376
55300,16376
70486,16376
103181,1050
104322,23114
104322,56009
64191,35166
16402,9541
101751,7784
89058,48125
56872,4926
