book_id,price,discount,date
112266,100000,15,2023-09-25 12:35:24.164146
67734,180000,30,2023-09-25 12:35:25.300355
67445,72000,0,2023-09-25 12:35:25.853217
7204,15000,0,2023-09-25 12:35:28.001299
115076,128000,15,2023-09-25 12:35:28.208554
59490,65000,25,2023-09-25 12:35:28.362312
42613,90000,25,2023-09-25 12:35:28.435263
87800,36000,20,2023-09-25 12:35:28.519258
16787,75000,25,2023-09-25 12:35:28.620473
8108,50000,15,2023-09-25 12:35:28.729337
25277,145000,15,2023-09-25 12:35:28.827324
14109,350000,15,2023-09-25 12:35:29.005854
105323,69000,15,2023-09-25 12:35:29.120853
25342,50000,0,2023-09-25 12:35:29.207947
36714,220000,15,2023-09-25 12:35:29.312177
76229,90000,20,2023-09-25 12:35:29.422892
97859,69000,0,2023-09-25 12:35:29.519892
19941,80000,15,2023-09-25 12:35:29.642969
105144,100000,20,2023-09-25 12:35:29.760015
25671,78000,0,2023-09-25 12:35:30.085616
14025,185000,10,2023-09-25 12:35:31.720080
58825,96000,15,2023-09-25 12:35:32.076056
41530,10800,15,2023-09-25 12:35:32.737111
22209,24500,0,2023-09-25 12:35:32.856281
101356,299000,15,2023-09-25 12:35:32.970032
112151,359000,0,2023-09-25 12:35:32.989068
32439,15000,25,2023-09-25 12:35:33.074341
112073,40000,20,2023-09-25 12:35:33.143341
68597,180000,25,2023-09-25 12:35:33.225371
77557,55000,0,2023-09-25 12:35:33.290341
55620,25000,25,2023-09-25 12:35:33.368458
13329,322000,25,2023-09-25 12:35:33.484752
45609,175000,20,2023-09-25 12:35:33.608754
115062,420000,20,2023-09-25 12:35:33.726753
35961,15000,15,2023-09-25 12:35:33.840753
14386,10000,0,2023-09-25 12:35:33.972753
77393,50000,20,2023-09-25 12:35:34.214754
77497,50000,0,2023-09-25 12:35:34.410796
105356,118000,15,2023-09-25 12:35:34.794425
58102,49000,15,2023-09-25 12:35:34.936428
12000,205000,15,2023-09-25 12:35:35.045434
97884,8000,0,2023-09-25 12:35:35.401534
96673,129000,20,2023-09-25 12:35:35.650819
47876,95000,25,2023-09-25 12:35:35.902813
21706,160000,15,2023-09-25 12:35:36.179903
103421,6500,0,2023-09-25 12:35:36.360909
76217,300000,15,2023-09-25 12:35:36.631120
42852,35000,25,2023-09-25 12:35:36.879369
47135,70000,25,2023-09-25 12:35:36.988821
35814,23000,0,2023-09-25 12:35:37.411938
9874,20000,0,2023-09-25 12:35:37.577944
120784,50000,20,2023-09-25 12:35:37.661134
110423,50000,0,2023-09-25 12:35:37.729877
39609,155000,10,2023-09-25 12:35:37.847215
100800,100000,15,2023-09-25 12:35:37.980218
9166,5000,0,2023-09-25 12:35:38.182290
65401,48000,25,2023-09-25 12:35:38.278337
24730,35000,0,2023-09-25 12:35:38.295352
25266,42000,15,2023-09-25 12:35:38.388336
56525,24000,0,2023-09-25 12:35:38.569627
51907,22000,15,2023-09-25 12:35:38.807676
95405,140000,10,2023-09-25 12:35:38.929717
82032,20000,20,2023-09-25 12:35:39.062845
63869,125000,15,2023-09-25 12:35:39.355233
93513,30000,20,2023-09-25 12:35:39.479251
67621,50000,25,2023-09-25 12:35:39.558242
16610,9000,15,2023-09-25 12:35:39.640237
65092,60000,0,2023-09-25 12:35:39.949333
48714,85000,15,2023-09-25 12:35:40.055227
53591,160000,20,2023-09-25 12:35:40.150227
54804,175000,15,2023-09-25 12:35:40.266270
54964,50000,0,2023-09-25 12:35:40.291271
72639,145000,0,2023-09-25 12:35:40.368273
10752,14000,0,2023-09-25 12:35:40.437919
31044,10000,0,2023-09-25 12:35:40.654687
38799,20000,15,2023-09-25 12:35:40.826304
91979,20000,20,2023-09-25 12:35:40.917841
91983,20000,0,2023-09-25 12:35:40.940843
58802,22000,25,2023-09-25 12:35:41.047181
53873,60000,25,2023-09-25 12:35:41.131220
121973,89000,0,2023-09-25 12:35:41.279263
120918,30000,15,2023-09-25 12:35:41.401489
13754,180000,10,2023-09-25 12:35:41.900671
82579,194000,0,2023-09-25 12:35:42.078675
103252,120000,0,2023-09-25 12:35:42.160789
61049,75000,25,2023-09-25 12:35:42.742700
86204,36000,20,2023-09-25 12:35:42.936498
20710,37500,25,2023-09-25 12:35:43.229341
112043,55000,20,2023-09-25 12:35:43.607589
25290,450000,15,2023-09-25 12:35:44.000383
45096,65000,15,2023-09-25 12:35:44.144428
44894,75000,25,2023-09-25 12:35:44.234389
12625,120000,0,2023-09-25 12:35:44.609573
38114,140000,0,2023-09-25 12:35:44.691147
19083,59000,0,2023-09-25 12:35:44.809616
19085,120000,0,2023-09-25 12:35:44.836615
19084,135000,0,2023-09-25 12:35:45.008484
103181,218000,10,2023-09-25 12:35:45.203592
16402,95000,15,2023-09-25 12:35:45.357592
104322,90000,20,2023-09-25 12:35:45.525504
101751,160000,20,2023-09-25 12:35:45.605754
64191,90000,0,2023-09-25 12:35:45.762719
113135,165000,10,2023-09-25 12:35:45.853669
28215,150000,15,2023-09-25 12:35:45.969027
55300,49000,0,2023-09-25 12:35:45.990027
70486,90000,0,2023-09-25 12:35:46.015027
89058,48000,20,2023-09-25 12:35:46.124362
56872,55000,15,2023-09-25 12:35:46.225362
10985,45000,15,2023-09-25 12:35:46.721144
108433,350000,20,2023-09-25 12:35:46.958149
1806,290000,15,2023-09-25 12:35:47.160222
99202,295000,0,2023-09-25 12:35:47.306689
22086,120000,0,2023-09-25 12:35:47.396107
113424,300000,20,2023-09-25 12:35:47.642880
6580,35000,0,2023-09-25 12:35:47.705888
6581,12000,0,2023-09-25 12:35:47.724887
6582,65000,0,2023-09-25 12:35:47.740883
54330,25000,0,2023-09-25 12:35:47.757882
62339,350000,25,2023-09-25 12:35:47.848796
12646,15000,0,2023-09-25 12:35:47.924806
114248,90000,20,2023-09-25 12:35:48.006833
25496,140000,15,2023-09-25 12:35:48.094298
30350,45000,0,2023-09-25 12:35:48.203341
68540,59000,25,2023-09-25 12:35:48.391963
97089,26000,20,2023-09-25 12:35:48.525709
75043,60000,20,2023-09-25 12:35:48.713622
87974,330000,15,2023-09-25 12:35:49.142000
73212,130000,15,2023-09-25 12:35:49.309999
4645,115000,15,2023-09-25 12:35:49.637977
6220,19000,15,2023-09-25 12:35:50.325271
95348,12000,10,2023-09-25 12:35:50.501808
43193,11000,0,2023-09-25 12:35:50.608809
1459,155000,15,2023-09-25 12:35:50.789913
19400,175000,15,2023-09-25 12:35:51.094335
6795,350000,20,2023-09-25 12:35:51.420014
16340,250000,0,2023-09-25 12:35:52.054647
61804,25000,25,2023-09-25 12:35:52.309630
42034,65000,15,2023-09-25 12:35:53.220719
90054,20000,0,2023-09-25 12:35:54.208086
112929,90000,20,2023-09-25 12:35:54.519692
17229,25000,10,2023-09-25 12:35:54.698736
108907,75000,10,2023-09-25 12:35:54.863688
25293,30000,20,2023-09-25 12:35:55.336174
25291,30000,0,2023-09-25 12:35:55.446712
25294,30000,0,2023-09-25 12:35:55.480708
5558,60000,20,2023-09-25 12:35:55.832983
96864,75000,15,2023-09-25 12:35:56.013272
119965,20000,20,2023-09-25 12:35:56.125396
38636,330000,15,2023-09-25 12:35:56.255396
61971,72000,25,2023-09-25 12:35:56.485394
44964,70000,15,2023-09-25 12:35:56.765670
45249,7000,0,2023-09-25 12:35:57.073781
58217,55000,15,2023-09-25 12:35:57.448327
48519,161000,0,2023-09-25 12:35:57.720398
77387,120000,20,2023-09-25 12:35:57.968822
836,110000,15,2023-09-25 12:35:58.703262
104687,176000,0,2023-09-25 12:35:58.788424
25702,232000,0,2023-09-25 12:35:59.690646
35100,1500,0,2023-09-25 12:36:00.376697
28379,35000,15,2023-09-25 12:36:01.105956
47448,75000,20,2023-09-25 12:36:01.315372
