id,name,link
11,افق,/publisher/11-%d8%a7%d9%81%d9%82
1327,نیستان,/publisher/1327-%d9%86%db%8c%d8%b3%d8%aa%d8%a7%d9%86
30,پیدایش,/publisher/30-%d9%be%db%8c%d8%af%d8%a7%db%8c%d8%b4
1440,لوگوس,/publisher/1440-%d9%84%d9%88%da%af%d9%88%d8%b3
1259,چابک اندیش,/publisher/1259-%da%86%d8%a7%d8%a8%da%a9-%d8%a7%d9%86%d8%af%db%8c%d8%b4
2628,امید سخن,/publisher/2628-%d8%a7%d9%85%db%8c%d8%af-%d8%b3%d8%ae%d9%86
1575,صفی علیشاه,/publisher/1575-%d8%b5%d9%81%db%8c-%d8%b9%d9%84%db%8c%d8%b4%d8%a7%d9%87
1470,سروش,/publisher/1470-%d8%b3%d8%b1%d9%88%d8%b4
48,ققنوس,/publisher/48-%d9%82%d9%82%d9%86%d9%88%d8%b3
1860,چالش,/publisher/1860-%da%86%d8%a7%d9%84%d8%b4
31,نشر ثالث,/publisher/31-%d9%86%d8%b4%d8%b1-%d8%ab%d8%a7%d9%84%d8%ab
1358,شهرستان ادب,/publisher/1358-%d8%b4%d9%87%d8%b1%d8%b3%d8%aa%d8%a7%d9%86-%d8%a7%d8%af%d8%a8
1988,بعثت,/publisher/1988-%d8%a8%d8%b9%d8%ab%d8%aa
42,سبزان,/publisher/42-%d8%b3%d8%a8%d8%b2%d8%a7%d9%86
51,کتابسرای تندیس,/publisher/51-%da%a9%d8%aa%d8%a7%d8%a8%d8%b3%d8%b1%d8%a7%db%8c-%d8%aa%d9%86%d8%af%db%8c%d8%b3
2651,یادواره کتاب,/publisher/2651-%db%8c%d8%a7%d8%af%d9%88%d8%a7%d8%b1%d9%87-%da%a9%d8%aa%d8%a7%d8%a8
1967,دانشگاه تهران,/publisher/1967-%d8%af%d8%a7%d9%86%d8%b4%da%af%d8%a7%d9%87-%d8%aa%d9%87%d8%b1%d8%a7%d9%86
1875,اریش,/publisher/1875-%d8%a7%d8%b1%db%8c%d8%b4
1621,مطالعات سیاسی,/publisher/1621-%d9%85%d8%b7%d8%a7%d9%84%d8%b9%d8%a7%d8%aa-%d8%b3%db%8c%d8%a7%d8%b3%db%8c
