book_id,writer_id
105323,17747
19941,11484
36714,18389
14109,7713
8108,4943
76229,26541
7204,4985
87800,4690
87800,5185
67445,3274
67445,26997
42613,24381
67734,37624
97859,52921
25671,14929
16787,9341
112266,31542
105144,26943
59490,32815
115076,11871
25277,14319
25342,5833
14025,279
-1,1045
58825,8766
101356,54923
112151,54923
112073,66279
41530,23746
68597,30319
32439,18453
22209,13036
13329,7801
77557,42082
45609,25589
55620,16240
115062,67464
14386,8378
77393,42002
77497,42002
35961,20859
105356,56466
58102,16947
12000,4602
96673,52173
97884,53005
21706,5241
103421,55632
47876,-1
120784,70250
9874,5938
35814,20743
76217,41551
42852,4965
39609,2604
47135,26722
110423,65522
65401,2204
24730,2204
100800,3274
100800,54705
9166,5598
63869,12762
56525,31407
25266,14647
51907,29117
95405,51241
93513,41795
82032,3293
16610,9676
67621,18453
48714,27447
53591,29970
65092,35625
10752,3284
54804,18041
54804,30587
54964,18041
54964,30587
72639,30587
31044,3274
91979,3293
91983,3293
58802,10463
121973,70676
53873,8078
38799,16280
120918,19730
61049,33553
13754,2288
82579,2288
103252,2288
112043,3464
20710,12059
25290,3274
86204,46650
45096,25587
44894,3274
44894,25456
12625,-1
19083,3026
19085,3026
19084,3026
38114,11352
113135,-1
103181,1050
28215,16376
55300,16376
70486,16376
104322,23114
104322,56009
64191,35166
16402,9541
101751,7784
89058,48125
56872,4926
1806,3066
99202,3066
22086,3066
10985,304
108433,63619
113424,4842
6580,4842
6581,4842
6582,4842
54330,4842
62339,34168
114248,-1
12646,423
25496,14795
30350,17616
68540,38123
97089,10047
75043,41152
73212,4301
87974,38757
43193,24668
95348,44713
4645,3438
6220,4591
1459,2659
16340,9505
6795,4348
19400,5385
61804,33751
108907,10890
90054,4824
17229,10076
42034,24010
112929,66583
5558,2288
119965,55995
61971,33991
96864,52332
38636,22157
45249,25674
58217,12476
48519,27334
44964,25522
25702,3979
77387,42000
836,1025
104687,1025
25293,14660
25291,14660
25294,14661
35100,20318
28379,8235
88768,44118
47448,26273
68118,7139
27248,703
14898,8690
21642,8690
31294,18161
39815,22864
99437,-1
37247,3292
95972,51541
62651,34283
104887,56252
54602,10659
53528,23367
31227,18129
73472,3644
108426,63616
39778,4377
56507,4377
54954,30638
36784,17090
31218,18123
16322,403
29097,16862
17883,10416
24058,14092
69781,3274
69781,37866
15930,710
72208,-1
44256,25142
91810,48623
22144,12988
112506,16239
79809,43536
103007,29322
76746,41704
85169,45957
102715,28697
83605,5181
103952,55880
86057,46546
96110,39681
120555,70159
3521,12
3519,12
1863,12
13625,12
29840,17306
252,345
37220,21405
110410,65522
46529,26422
60686,681
45811,26020
60815,33432
43592,24833
57694,31297
34500,19936
34605,85
